Date,Open,High,Low,Close,Adj Close,Volume
24/01/2018,10899.4,11549.5,10584.5,14740.09,14740.09,0
23/01/2018,10869.0,11438.0,10056.6,13338.41,13338.41,0
22/01/2018,11597.5,11970.9,10136.8,13820.26,13820.26,0
21/01/2018,12857.1,12860.2,11164.5,12675.68,12675.68,0
20/01/2018,11579.2,13082.2,11567.3,14574.99,14574.99,0
19/01/2018,11229.6,11973.2,10901.5,14488.61,14488.61,0
18/01/2018,11202.0,12004.7,10660.2,15418.95,15418.95,0
17/01/2018,11357.7,11769.6,9271.3,15830.86,15830.86,0
16/01/2018,13704.4,13711.0,10050.7,13986.68,13986.68,0
15/01/2018,13695.5,14396.6,13475.4,14100.01,14100.01,0
14/01/2018,14291.9,14446.1,13094.7,15002.72,15002.72,0
13/01/2018,13896.0,14640.7,13888.2,14000.0,14000.0,0
12/01/2018,13529.2,14176.4,13410.0,15800.0,15800.0,0
11/01/2018,15046.7,15109.1,13048.3,16596.09,16596.09,0
10/01/2018,14778.5,15045.4,13613.1,17640.01,17640.01,0
09/01/2018,14976.2,15324.6,14613.4,18983.0,18983.0,0
08/01/2018,16228.3,16302.9,13902.3,19260.5,19260.5,0
07/01/2018,17174.5,17184.8,15791.1,19499.99,19499.99,0
06/01/2018,16954.8,17252.8,16286.6,17744.5,17744.5,0
05/01/2018,15180.1,17126.9,14832.4,16678.79,16678.79,0
04/01/2018,15156.5,15408.7,14244.7,16460.9,16460.9,0
03/01/2018,14754.1,15435.0,14579.7,17382.19,17382.19,0
02/01/2018,13444.9,15306.1,12934.2,16800.19,16800.19,0
01/01/2018,13850.5,13921.5,12877.7,15268.98,15268.98,0
31/12/2017,12532.4,14241.8,12359.4,15041.0,15041.0,0
30/12/2017,14392.1,14461.5,11962.1,16250.01,16250.01,0
29/12/2017,14398.5,15109.8,13951.1,17050.0,17050.0,0
28/12/2017,15416.3,15505.5,13466.1,13735.16,13735.16,0
27/12/2017,15757.0,16514.6,14534.7,11711.2,11711.2,0
26/12/2017,13830.2,16094.7,13748.5,11668.84,11668.84,0
25/12/2017,13790.0,14467.4,13010.7,11231.21,11231.21,0
24/12/2017,14396.6,14413.7,12166.5,10888.01,10888.01,0
23/12/2017,13665.0,15493.2,13356.1,10910.18,10910.18,0
22/12/2017,15632.1,15823.7,10875.7,9934.4,9934.4,0
21/12/2017,16461.1,17301.8,14953.0,9827.29,9827.29,0
20/12/2017,17521.7,17813.6,15642.7,9941.7,9941.7,0
19/12/2017,18971.2,19022.0,16812.8,9763.11,9763.11,0
18/12/2017,19065.7,19221.1,18114.4,9306.21,9306.21,0
17/12/2017,19346.6,19870.6,18750.9,8779.62,8779.62,0
16/12/2017,17594.1,19587.7,17318.5,8209.88,8209.88,0
15/12/2017,16467.9,17987.0,16442.2,8009.88,8009.88,0
14/12/2017,16286.8,16941.1,16023.6,8240.82,8240.82,0
13/12/2017,17083.9,17268.0,15669.9,8120.36,8120.36,0
12/12/2017,16733.3,17560.7,16254.5,8246.01,8246.01,0
11/12/2017,15060.5,17399.2,15024.6,8046.98,8046.98,0
10/12/2017,14840.0,15783.2,13031.0,7776.54,7776.54,0
09/12/2017,16048.2,16313.2,13151.5,7677.17,7677.17,0
08/12/2017,16868.0,17294.8,13906.1,7852.44,7852.44,0
07/12/2017,13750.1,16879.3,13401.6,7292.65,7292.65,0
06/12/2017,11667.1,13843.2,11661.8,6606.75,6606.75,0
05/12/2017,11624.4,11901.9,11486.1,6549.3,6549.3,0
04/12/2017,11244.2,11624.6,10917.8,5849.37,5849.37,0
03/12/2017,10912.7,11851.1,10578.4,6340.0,6340.0,0
02/12/2017,10861.5,11175.2,10715.5,6585.11,6585.11,0
01/12/2017,9947.1,10942.8,9420.9,7151.49,7151.49,0
30/11/2017,9848.0,10689.1,9023.8,7465.53,7465.53,0
29/11/2017,9906.0,11417.8,8938.7,7109.7,7109.7,0
28/11/2017,9732.6,9969.6,9638.2,6975.01,6975.01,0
27/11/2017,9318.4,9733.6,9316.8,7394.44,7394.44,0
26/11/2017,8754.6,9474.6,8746.6,7371.55,7371.55,0
25/11/2017,8203.5,8762.0,8153.7,7150.58,7150.58,0
24/11/2017,8013.4,8332.9,7900.2,7037.48,7037.48,0
23/11/2017,8234.5,8266.5,8012.4,6741.02,6741.02,0
22/11/2017,8099.9,8304.4,8091.6,6448.36,6448.36,0
21/11/2017,8245.9,8368.4,7819.1,6124.69,6124.69,0
20/11/2017,8042.6,8294.1,7947.3,6132.76,6132.76,0
19/11/2017,7781.0,8100.9,7675.4,5730.01,5730.01,0
18/11/2017,7700.0,7857.5,7458.9,5765.32,5765.32,0
17/11/2017,7853.7,8000.2,7534.7,5889.42,5889.42,0
16/11/2017,7283.0,7964.6,7119.2,5741.66,5741.66,0
15/11/2017,6597.1,7330.1,6596.9,5517.21,5517.21,0
14/11/2017,6522.5,6728.6,6419.2,5899.6,5899.6,0
13/11/2017,5878.1,6760.1,5828.3,5974.97,5974.97,0
12/11/2017,6339.9,6490.5,5493.6,6012.58,6012.58,0
11/11/2017,6565.8,6821.5,6197.9,5984.03,5984.03,0
10/11/2017,7129.6,7319.0,6406.0,5695.01,5695.01,0
09/11/2017,7444.4,7457.1,7040.8,5569.33,5569.33,0
08/11/2017,7102.2,7869.1,7027.0,5592.26,5592.26,0
07/11/2017,6959.3,7222.4,6957.8,5748.56,5748.56,0
06/11/2017,7389.5,7429.7,6934.7,5694.61,5694.61,0
05/11/2017,7363.8,7599.4,7284.3,5799.99,5799.99,0
04/11/2017,7147.0,7492.2,6957.8,5636.28,5636.28,0
03/11/2017,7024.8,7445.6,6938.9,5437.68,5437.68,0
02/11/2017,6737.8,7339.9,6737.8,4813.85,4813.85,0
01/11/2017,6449.1,6738.7,6355.0,4756.22,4756.22,0
31/10/2017,6124.3,6467.2,6090.8,4751.08,4751.08,0
30/10/2017,6147.7,6226.2,6019.0,4602.5,4602.5,0
29/10/2017,5726.6,6295.4,5679.4,4425.01,4425.01,0
28/10/2017,5764.6,5871.0,5654.8,4362.42,4362.42,0
27/10/2017,5887.6,5997.8,5692.3,4318.57,4318.57,0
26/10/2017,5734.0,5970.4,5689.9,4214.25,4214.25,0
25/10/2017,5513.1,5748.0,5375.6,4300.0,4300.0,0
24/10/2017,5903.6,5904.6,5463.4,4385.7,4385.7,0
23/10/2017,5982.9,6049.0,5644.2,4388.74,4388.74,0
22/10/2017,6006.6,6070.6,5723.0,4327.63,4327.63,0
21/10/2017,5993.1,6187.2,5874.5,4182.89,4182.89,0
20/10/2017,5698.6,6075.3,5611.4,4188.0,4188.0,0
19/10/2017,5576.7,5737.4,5517.6,4204.51,4204.51,0
18/10/2017,5598.6,5601.3,5114.9,3885.14,3885.14,0
17/10/2017,5759.3,5773.3,5521.1,3916.48,3916.48,0
16/10/2017,5677.4,5795.3,5576.1,3667.99,3667.99,0
15/10/2017,5824.7,5862.7,5448.2,3783.6,3783.6,0
14/10/2017,5637.3,5839.6,5568.9,3620.96,3620.96,0
13/10/2017,5432.6,5852.8,5392.0,3616.74,3616.74,0
12/10/2017,4824.2,5432.6,4815.0,3866.0,3866.0,0
11/10/2017,4763.4,4874.9,4718.6,3903.4,3903.4,0
10/10/2017,4777.5,4930.0,4722.8,4098.03,4098.03,0
09/10/2017,4611.7,4875.4,4556.1,3716.46,3716.46,0
08/10/2017,4435.8,4622.9,4419.4,3715.38,3715.38,0
07/10/2017,4371.9,4472.9,4319.5,3709.85,3709.85,0
06/10/2017,4321.4,4422.1,4296.9,3242.63,3242.63,0
05/10/2017,4218.7,4365.8,4143.4,3855.01,3855.01,0
04/10/2017,4314.2,4355.3,4183.6,4155.55,4155.55,0
03/10/2017,4401.3,4436.0,4230.7,4209.69,4209.69,0
02/10/2017,4403.1,4477.4,4364.7,4243.48,4243.48,0
01/10/2017,4360.6,4412.6,4258.3,4325.17,4325.17,0
30/09/2017,4172.8,4383.3,4164.3,4346.24,4346.24,0
29/09/2017,4195.6,4237.5,4030.4,4623.19,4623.19,0
28/09/2017,4212.2,4274.6,4112.9,4609.17,4609.17,0
27/09/2017,3892.7,4232.4,3882.1,4393.0,4393.0,0
26/09/2017,3932.8,3982.3,3858.8,4278.86,4278.86,0
25/09/2017,3667.5,3971.5,3665.7,4607.47,4607.47,0
24/09/2017,3788.0,3790.9,3633.9,4642.85,4642.85,0
23/09/2017,3600.8,3813.4,3563.2,4924.0,4924.0,0
22/09/2017,3617.3,3753.5,3505.8,4736.28,4736.28,0
21/09/2017,3882.2,3912.8,3576.5,4583.85,4583.85,0
20/09/2017,3908.0,4053.0,3846.8,4589.99,4589.99,0
19/09/2017,4100.3,4120.7,3852.2,4379.97,4379.97,0
18/09/2017,3689.6,4122.8,3689.0,4340.88,4340.88,0
17/09/2017,3698.9,3796.6,3485.8,4371.25,4371.25,0
16/09/2017,3713.8,3893.7,3551.8,4371.25,4371.25,0
15/09/2017,3243.1,3824.4,2979.9,4313.21,4313.21,0
14/09/2017,3870.3,3930.7,3219.0,4147.1,4147.1,0
13/09/2017,4158.9,4174.6,3752.0,4093.28,4093.28,0
12/09/2017,4217.9,4387.8,4075.0,3993.87,3993.87,0
11/09/2017,4245.9,4364.4,4134.6,4049.98,4049.98,0
10/09/2017,4335.1,4338.1,4032.1,4145.11,4145.11,0
09/09/2017,4326.5,4402.1,4185.3,4102.48,4102.48,0
08/09/2017,4635.6,4699.6,4130.9,4284.45,4284.45,0
07/09/2017,4618.7,4690.5,4493.2,4340.01,4340.01,0
